ENSG00000000003	4
ENSG00000000005	0
ENSG00000000419	2002
ENSG00000000457	2100
ENSG00000000460	3191
ENSG00000000938	2101
ENSG00000000971	0
ENSG00000001036	948
ENSG00000001084	1287
ENSG00000001167	1975
ENSG00000001460	179
ENSG00000001461	1431
ENSG00000001497	1791
ENSG00000001561	1248
ENSG00000001617	7
ENSG00000001626	11
ENSG00000001629	14524
ENSG00000001630	162
ENSG00000001631	7
ENSG00000002016	889
ENSG00000002079	2
ENSG00000002330	389
ENSG00000002549	6735
ENSG00000002586	2918
ENSG00000002587	570
ENSG00000002726	0
ENSG00000002745	4
ENSG00000002746	11
ENSG00000002822	3
ENSG00000002834	5167
ENSG00000002919	1435
ENSG00000002933	0
ENSG00000003056	2637
ENSG00000003096	195
ENSG00000003137	0
ENSG00000003147	259
ENSG00000003249	192
ENSG00000003393	1663
ENSG00000003400	1701
ENSG00000003402	9465
ENSG00000003436	4
ENSG00000003509	937
ENSG00000003756	4972
ENSG00000003987	0
ENSG00000003989	7
ENSG00000004059	796
ENSG00000004139	1059
ENSG00000004142	2061
ENSG00000004399	16
ENSG00000004455	5159
ENSG00000004468	15005
ENSG00000004478	1864
ENSG00000004487	5411
ENSG00000004534	13754
ENSG00000004660	100
ENSG00000004700	3726
ENSG00000004766	3563
ENSG00000004776	8
ENSG00000004777	419
ENSG00000004779	1390
ENSG00000004799	0
ENSG00000004809	5
ENSG00000004838	13
ENSG00000004846	3
ENSG00000004848	1
ENSG00000004864	7251
ENSG00000004866	4123
ENSG00000004897	7950
ENSG00000004939	1
ENSG00000004948	0
ENSG00000004961	552
ENSG00000004975	670
ENSG00000005001	0
ENSG00000005007	3383
ENSG00000005020	7656
ENSG00000005022	4673
ENSG00000005059	5065
ENSG00000005073	0
ENSG00000005075	651
ENSG00000005100	989
ENSG00000005102	8
ENSG00000005108	9
ENSG00000005156	1719
ENSG00000005175	2013
ENSG00000005187	393
ENSG00000005189	768
ENSG00000005194	965
ENSG00000005206	786
ENSG00000005238	385
ENSG00000005243	40
ENSG00000005249	5
ENSG00000005302	2659
ENSG00000005339	8714
ENSG00000005379	840
ENSG00000005381	0
ENSG00000005421	0
ENSG00000005436	1679
ENSG00000005448	358
ENSG00000005469	1139
ENSG00000005471	1347
ENSG00000005483	14552
ENSG00000005486	394
ENSG00000005513	1
ENSG00000005700	5969
ENSG00000005801	3108
ENSG00000005810	43926
ENSG00000005812	1528
ENSG00000005844	2827
ENSG00000005882	105
ENSG00000005884	223
ENSG00000005889	3745
ENSG00000005893	2388
ENSG00000005961	12
ENSG00000005981	1
ENSG00000006007	856
ENSG00000006015	276
ENSG00000006016	5
ENSG00000006025	619
ENSG00000006042	5
ENSG00000006047	0
ENSG00000006059	0
ENSG00000006062	3720
ENSG00000006071	1
ENSG00000006116	6
ENSG00000006118	278
ENSG00000006125	8264
ENSG00000006128	0
ENSG00000006194	962
ENSG00000006210	6
ENSG00000006282	696
ENSG00000006283	5
ENSG00000006327	6
ENSG00000006377	0
ENSG00000006432	2036
ENSG00000006451	4392
ENSG00000006453	373
ENSG00000006459	283
ENSG00000006468	4
ENSG00000006530	3920
ENSG00000006534	3
ENSG00000006555	111
ENSG00000006576	9895
ENSG00000006606	0
ENSG00000006607	4060
ENSG00000006611	0
ENSG00000006625	351
ENSG00000006634	2812
ENSG00000006638	2
ENSG00000006652	14
ENSG00000006659	173
ENSG00000006695	4011
ENSG00000006704	248
ENSG00000006712	823
ENSG00000006715	8155
ENSG00000006740	156
ENSG00000006744	2320
ENSG00000006747	14
ENSG00000006756	130
ENSG00000006757	180
ENSG00000006788	0
ENSG00000006831	7237
ENSG00000006837	0
ENSG00000007001	6
ENSG00000007038	2
ENSG00000007047	1111
ENSG00000007062	3
